ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7976496	3.78e-70	1.14e-74	-2.44e+01	159.142735	-2.64	SERPINA3	serpin family A member 3
8045291	1.48e-65	8.87e-70	-2.31e+01	148.021408	-9.95e-01	TUBA3D///TUBA3E///TUBA3C	tubulin alpha 3d///tubulin alpha 3e///tubulin alpha 3c
7992987	9.56e-65	8.61e-69	-2.29e+01	145.776792	-6.68e-01	HMOX2	heme oxygenase 2
8160168	2.02e-64	2.42e-68	2.27e+01	144.754763	1.05	FREM1	FRAS1 related extracellular matrix 1
7982204	1.66e-62	2.50e-66	2.22e+01	140.174633	7.04e-01	HMGN2	high mobility group nucleosomal binding domain 2
8000409	9.79e-62	1.76e-65	2.20e+01	138.24381	7.01e-01	HMGN2	high mobility group nucleosomal binding domain 2
7914075	2.93e-58	6.15e-62	-2.10e+01	130.181317	-1.79	FCN3	ficolin 3
7989146	7.79e-58	1.87e-61	2.09e+01	129.080907	1.06	MNS1	meiosis specific nuclear structural 1
8123446	2.92e-56	7.89e-60	2.05e+01	125.380872	1.19	SMOC2	SPARC related modular calcium binding 2
8174119	4.33e-53	1.30e-56	1.96e+01	118.055289	7.33e-01	ZMAT1	zinc finger matrin-type 1
7986092	1.56e-50	5.16e-54	-1.90e+01	112.134299	-6.03e-01	FURIN	furin, paired basic amino acid cleaving enzyme
7923347	1.61e-50	5.82e-54	-1.90e+01	112.016108	-6.69e-01	LAD1	ladinin 1
8162404	5.02e-50	1.96e-53	1.88e+01	110.813436	1.00	ECM2	extracellular matrix protein 2
8165277	4.36e-49	1.83e-52	-1.86e+01	108.601162	-9.17e-01	LCN6	lipocalin 6
8074991	8.33e-49	3.75e-52	-1.85e+01	107.893124	-8.30e-01	GGT5	gamma-glutamyltransferase 5
8156278	1.19e-48	5.73e-52	-1.84e+01	107.473406	-6.27e-01	C9orf47///S1PR3	chromosome 9 open reading frame 47///sphingosine-1-phosphate receptor 3
8063923	1.26e-48	6.44e-52	-1.84e+01	107.358197	-1.36	SLCO4A1	solute carrier organic anion transporter family member 4A1
8102532	1.30e-48	7.04e-52	1.84e+01	107.270025	1.02	PDE5A	phosphodiesterase 5A
